Word,Male/MW,Female/MW,LogOdds
suspenseful,0,6,-1.467
t._e._s._o._l.,0,6,-1.467
tamara,0,6,-1.467
tarot,0,6,-1.467
thao,0,6,-1.467
thea,0,6,-1.467
tonia,0,6,-1.467
treselle,0,6,-1.467
u._p._c.,0,6,-1.467
unpacked,0,6,-1.467
vaseline,0,6,-1.467
veils,0,6,-1.467
wuss,0,6,-1.467
zapped,0,6,-1.467
cancelled,41,78,-1.466
color,291,435,-1.466
masks,62,110,-1.466
dumped,24,51,-1.465
licence,34,67,-1.463
adoption,18,41,-1.461
flexible,43,81,-1.461
shoes,342,505,-1.461
sounding,18,41,-1.461
tolerate,43,81,-1.461
luckily,137,219,-1.456
pardon,386,565,-1.456
male,287,429,-1.455
repeats,10,27,-1.455
uniforms,47,87,-1.454
searched,77,132,-1.453
benadryl,14,34,-1.449
needy,14,34,-1.449
outfits,14,34,-1.449
pouring,31,62,-1.449
difference,1142,1580,-1.448
bugs,140,223,-1.447
smokers,211,323,-1.445
loud,131,210,-1.443
airs,2,11,-1.442
beginners,2,11,-1.442
beware,2,11,-1.442
bookkeeper,2,11,-1.442
boy-,2,11,-1.442
brides,2,11,-1.442
claustrophobic,2,11,-1.442
contingency,2,11,-1.442
dolores,2,11,-1.442
downsized,2,11,-1.442
getter,2,11,-1.442
groomer,2,11,-1.442
idols,2,11,-1.442
leila,2,11,-1.442
limber,2,11,-1.442
lynne,2,11,-1.442
medicated,2,11,-1.442
motto,2,11,-1.442
nortel,2,11,-1.442
renewal,2,11,-1.442
roberta,2,11,-1.442
sambo,2,11,-1.442
scrub,2,11,-1.442
stockpiling,2,11,-1.442
educating,33,65,-1.440
scraps,9,25,-1.440
willpower,9,25,-1.440
outback,17,39,-1.439
surprised,573,818,-1.439
flying,494,711,-1.437
rye,28,57,-1.437
female,271,406,-1.435
sixth,141,224,-1.434
aged,35,68,-1.432
appalled,13,32,-1.429
brat,13,32,-1.429
parades,13,32,-1.429
sickening,13,32,-1.429
amazing,987,1372,-1.427
ambition,8,23,-1.427
blended,8,23,-1.427
brittany,8,23,-1.427
kangaroo,8,23,-1.427
members,246,371,-1.427
pies,8,23,-1.427
publisher,8,23,-1.427
storey,8,23,-1.427
buried,25,52,-1.426
laying,87,146,-1.426
someplace,64,112,-1.424
argh,56,100,-1.423
chickens,39,74,-1.420
hamsters,39,74,-1.420
guilty,265,397,-1.419
bam,16,37,-1.418
commonsense,16,37,-1.418
december,112,182,-1.418
shrek,16,37,-1.418
x-ray,16,37,-1.418
amelia,3,13,-1.416
attained,3,13,-1.416
bargains,7,21,-1.416
blessings,3,13,-1.416
butcher,3,13,-1.416
centipede,3,13,-1.416
chubby,7,21,-1.416
classmate,3,13,-1.416
cremated,3,13,-1.416
elevators,3,13,-1.416
emphysema,32,63,-1.416
gere,3,13,-1.416
greet,7,21,-1.416
hackers,3,13,-1.416
hogs,3,13,-1.416
humming,3,13,-1.416
impressionable,7,21,-1.416
impromptu,3,13,-1.416
insured,3,13,-1.416
leopard,3,13,-1.416
lid,7,21,-1.416
limo,3,13,-1.416
monroe,3,13,-1.416
persecuted,3,13,-1.416
pocketbooks,3,13,-1.416
poodles,7,21,-1.416
protesters,7,21,-1.416
ref-,3,13,-1.416
roach,3,13,-1.416
salisbury,3,13,-1.416
sing,119,192,-1.416
skirts,3,13,-1.416
tortoise,3,13,-1.416
upbeat,3,13,-1.416
uplifting,7,21,-1.416
vacuuming,3,13,-1.416
wardrobe,3,13,-1.416
siblings,92,153,-1.415
honesty,179,277,-1.414
beg,27,55,-1.413
cracks,27,55,-1.413
unknown,27,55,-1.413
litter,90,150,-1.412
passed,518,742,-1.411
demeaning,12,30,-1.410
fabric,12,30,-1.410
functioning,12,30,-1.410
strawberry,12,30,-1.410
celebrities,88,147,-1.409
medical,357,523,-1.409
overweight,143,226,-1.409
secretary,45,83,-1.408
benji,6,19,-1.407
cries,6,19,-1.407
dawned,6,19,-1.407
debra,6,19,-1.407
denmark,6,19,-1.407
gloomy,6,19,-1.407
icy,6,19,-1.407
oldies,6,19,-1.407
breadwinner,4,15,-1.405
contents,4,15,-1.405
evaluating,4,15,-1.405
hairdresser,4,15,-1.405
harassing,4,15,-1.405
mowed,4,15,-1.405
orioles,4,15,-1.405
refuse,47,86,-1.405
sabrina,4,15,-1.405
worldly,4,15,-1.405
clicked,24,50,-1.403
good-,5,17,-1.403
groom,5,17,-1.403
inadequate,5,17,-1.403
kinder,5,17,-1.403
prerogative,5,17,-1.403
reminding,5,17,-1.403
subs,5,17,-1.403
supervised,5,17,-1.403
va-,5,17,-1.403
caller,51,92,-1.402
picnic,29,58,-1.402
liking,59,104,-1.400
benefits,318,469,-1.397
antibiotic,15,35,-1.396
patriots,15,35,-1.396
spiritually,15,35,-1.396
supervision,15,35,-1.396
bird,221,335,-1.395
declawed,21,45,-1.395
boots,18,40,-1.392
nose,176,272,-1.392
snacks,18,40,-1.392
clientele,11,28,-1.391
dalmatian,11,28,-1.391
eaters,11,28,-1.391
hide,181,279,-1.391
schoolers,11,28,-1.391
shih-tzu,11,28,-1.391
breathe,105,171,-1.386
names,253,379,-1.386
worker,126,201,-1.383
antibiotics,66,114,-1.382
grateful,46,84,-1.382
except,821,1147,-1.381
martha,110,178,-1.379
anger,60,105,-1.378
count,267,398,-1.378
protesting,60,105,-1.378
bones,56,99,-1.377
raped,28,56,-1.377
complains,14,33,-1.374
fetched,14,33,-1.374
acreage,1,8,-1.372
adoptions,1,8,-1.372
antihistamine,1,8,-1.372
artwork,10,26,-1.372
baggy,1,8,-1.372
baiter,1,8,-1.372
ban-,1,8,-1.372
bayou,1,8,-1.372
bichon,1,8,-1.372
blowers,1,8,-1.372
booklet,1,8,-1.372
bunches,1,8,-1.372
buns,1,8,-1.372
burdens,1,8,-1.372
burlingame,1,8,-1.372
catcher,37,70,-1.372
caterer,1,8,-1.372
consumerism,1,8,-1.372
conway,1,8,-1.372
crock,10,26,-1.372
crunchy,1,8,-1.372
disneyland,37,70,-1.372
eckerd,1,8,-1.372
eden,1,8,-1.372
elise,1,8,-1.372
eureka,1,8,-1.372
execs,1,8,-1.372
frida,1,8,-1.372
funner,1,8,-1.372
gladys,1,8,-1.372
grouping,1,8,-1.372
harrassment,1,8,-1.372
hater,1,8,-1.372
homestead,1,8,-1.372
hormone,1,8,-1.372
hospitalized,1,8,-1.372
jug,1,8,-1.372
kerrigan,1,8,-1.372
lace,1,8,-1.372
learner,1,8,-1.372
lite,1,8,-1.372
lorrie,1,8,-1.372
maliciously,1,8,-1.372
margarine,1,8,-1.372
marshmallows,1,8,-1.372
measles,1,8,-1.372
millington,1,8,-1.372
mower,1,8,-1.372
muppets,1,8,-1.372
newbies,1,8,-1.372
outwardly,1,8,-1.372
painfully,1,8,-1.372
parenthood,1,8,-1.372
peabody,1,8,-1.372
penalized,10,26,-1.372
peons,1,8,-1.372
piglet,1,8,-1.372
pleasantville,1,8,-1.372
preschools,1,8,-1.372
prudish,1,8,-1.372
puffy,1,8,-1.372
rachael,1,8,-1.372
registers,1,8,-1.372
researched,10,26,-1.372
schedulers,1,8,-1.372
scripture,1,8,-1.372
seasonings,1,8,-1.372
sheena,1,8,-1.372
sis,1,8,-1.372
skunks,1,8,-1.372
slander,1,8,-1.372
sneezy,1,8,-1.372
stalls,1,8,-1.372
stationery,1,8,-1.372
suns,1,8,-1.372
sur,1,8,-1.372
taurus,1,8,-1.372
tetras,1,8,-1.372
tidal,1,8,-1.372
touches,10,26,-1.372
trisha,1,8,-1.372
tumbling,1,8,-1.372
ultrasound,1,8,-1.372
xraying,1,8,-1.372
zapper,1,8,-1.372
zyrtec,1,8,-1.372
checkers,17,38,-1.369
disneyworld,17,38,-1.369
tubes,17,38,-1.369
channel,460,661,-1.368
knowledgeable,30,59,-1.368
opened,176,271,-1.364
herbs,32,62,-1.360
decide,439,632,-1.358
waiting,599,848,-1.358
cared,59,103,-1.356
cleaned,51,91,-1.355
da,107,173,-1.355
enjoys,49,88,-1.355
beeping,22,46,-1.354
charities,22,46,-1.354
controversy,55,97,-1.354
cucumbers,9,24,-1.354
heal,22,46,-1.354
lafayette,9,24,-1.354
s._p._c._a.,9,24,-1.354
skin,121,193,-1.354
thoughtful,9,24,-1.354
wavelength,9,24,-1.354
explaining,27,54,-1.353
fearful,27,54,-1.353
p._b._s.,34,65,-1.353
stroke,27,54,-1.353
biggie,13,31,-1.352
enclosed,13,31,-1.352
vaccinations,13,31,-1.352
antiques,19,41,-1.347
ended,680,956,-1.347
hav-,36,68,-1.347
comical,16,36,-1.345
gordon,16,36,-1.345
opinionated,16,36,-1.345
finn,38,71,-1.343
headline,29,57,-1.343
rotten,29,57,-1.343
nobody,1309,1792,-1.341
-tupid,0,5,-1.340
<german,0,5,-1.340
>,0,5,-1.340
actifed,0,5,-1.340
aghast,0,5,-1.340
agoraphobia,0,5,-1.340
air-conditioned,0,5,-1.340
allison,0,5,-1.340
alphabetical,0,5,-1.340
althea,0,5,-1.340
angelique,0,5,-1.340
anorexia,0,5,-1.340
appleby,0,5,-1.340
artemis,0,5,-1.340
ass-,0,5,-1.340
assorted,0,5,-1.340
b._b._s.,0,5,-1.340
baby-sit,0,5,-1.340
beautician,0,5,-1.340
belinda,0,5,-1.340
betas,0,5,-1.340
betta,0,5,-1.340
bip,0,5,-1.340
birthing,0,5,-1.340
bobsled,0,5,-1.340
bookbinding,0,5,-1.340
bowsman,0,5,-1.340
breading,0,5,-1.340
bridesmaids,0,5,-1.340
bylabatry,0,5,-1.340
calla,0,5,-1.340
carissa,0,5,-1.340
chanice,0,5,-1.340
chantey,0,5,-1.340
chattering,0,5,-1.340
childrearing,0,5,-1.340
chretien,0,5,-1.340
clarksdale,0,5,-1.340
cleanses,0,5,-1.340
cleats,0,5,-1.340
clyde,0,5,-1.340
computerization,0,5,-1.340
conceited,0,5,-1.340
correspondent,0,5,-1.340
cougars,0,5,-1.340
cross-stitch,0,5,-1.340
crossville,0,5,-1.340
crumbled,0,5,-1.340
cuddled,0,5,-1.340
cuticle,0,5,-1.340
dara,0,5,-1.340
decorator,0,5,-1.340
deogee,0,5,-1.340
desensitize,0,5,-1.340
dharma,0,5,-1.340
dined,0,5,-1.340
disapproved,0,5,-1.340
distinguished,0,5,-1.340
drizzled,0,5,-1.340
drugstores,0,5,-1.340
elated,0,5,-1.340
elkhart,0,5,-1.340
ex-smoker,0,5,-1.340
fairgrounds,0,5,-1.340
favoring,0,5,-1.340
feasts,0,5,-1.340
furs,0,5,-1.340
futurama,0,5,-1.340
g._d.,0,5,-1.340
gavin,0,5,-1.340
gilly,0,5,-1.340
gingerbread,0,5,-1.340
glassware,0,5,-1.340
gogh,0,5,-1.340
grabby,0,5,-1.340
gujarati,0,5,-1.340
gummy,0,5,-1.340
health-care,0,5,-1.340
hibachi,0,5,-1.340
hodgepodge,0,5,-1.340
homeopath,0,5,-1.340
honest-,0,5,-1.340
hostas,0,5,-1.340
hungover,0,5,-1.340
hyphen,0,5,-1.340
ides,0,5,-1.340
iditarod,0,5,-1.340
in-depth,0,5,-1.340
inbox,0,5,-1.340
inequity,0,5,-1.340
inoculating,0,5,-1.340
interiors,0,5,-1.340
interrogated,0,5,-1.340
jabeen,0,5,-1.340
jeffersons,0,5,-1.340
jeune,0,5,-1.340
keisha,0,5,-1.340
kris,0,5,-1.340
kunai,0,5,-1.340
lenora,0,5,-1.340
lilo,0,5,-1.340
lititz,0,5,-1.340
lurid,0,5,-1.340
lysol,0,5,-1.340
marg,0,5,-1.340
marguerite,0,5,-1.340
mcneese,0,5,-1.340
meltdown,0,5,-1.340
menopausal,0,5,-1.340
mesmerizing,0,5,-1.340
milit-,0,5,-1.340
misconstrued,0,5,-1.340
mittens,0,5,-1.340
mod-,0,5,-1.340
moneywise,0,5,-1.340
montel,0,5,-1.340
muso,0,5,-1.340
n._i._c._u.,0,5,-1.340
nam-,0,5,-1.340
navarre,0,5,-1.340
nerdy,0,5,-1.340
nesting,0,5,-1.340
non-smokers,0,5,-1.340
o._c._d.,0,5,-1.340
origami,0,5,-1.340
outfitted,0,5,-1.340
ove-,0,5,-1.340
overplayed,0,5,-1.340
p._v._s.,0,5,-1.340
packbell,0,5,-1.340
paducah,0,5,-1.340
pasha,0,5,-1.340
paternity,0,5,-1.340
patina,0,5,-1.340
persevere,0,5,-1.340
philippa,0,5,-1.340
phosphate,0,5,-1.340
pillsbury,0,5,-1.340
pinellas,0,5,-1.340
pocahontas,0,5,-1.340
preemie,0,5,-1.340
probl-,0,5,-1.340
prose,0,5,-1.340
quicken,0,5,-1.340
redd,0,5,-1.340
redistricting,0,5,-1.340
referencing,0,5,-1.340
refills,0,5,-1.340
refreshment,0,5,-1.340
reunite,0,5,-1.340
rottie,0,5,-1.340
rotties,0,5,-1.340
schuylkill,0,5,-1.340
sealing,0,5,-1.340
second-hand,0,5,-1.340
separations,0,5,-1.340
shagong,0,5,-1.340
shenandoah,0,5,-1.340
shortcake,0,5,-1.340
sillier,0,5,-1.340
slimfast,0,5,-1.340
slimwell,0,5,-1.340
somehane,0,5,-1.340
sororities,0,5,-1.340
spared,0,5,-1.340
squirted,0,5,-1.340
squished,0,5,-1.340
steph,0,5,-1.340
stewed,0,5,-1.340
stickler,0,5,-1.340
stiers,0,5,-1.340
swapped,0,5,-1.340
swimsuits,0,5,-1.340
tailoring,0,5,-1.340
tamed,0,5,-1.340
tanner,0,5,-1.340
tarzan,0,5,-1.340
taverns,0,5,-1.340
taya,0,5,-1.340
teleprompter,0,5,-1.340
thinned,0,5,-1.340
thirty-two,0,5,-1.340
tides,0,5,-1.340
tigger,0,5,-1.340
toyah,0,5,-1.340
trenice,0,5,-1.340
turquoise,0,5,-1.340
u._a.,0,5,-1.340
u._d.,0,5,-1.340
u._n._i._c._e._f.,0,5,-1.340
umhum,0,5,-1.340
undercoat,0,5,-1.340
undertone,0,5,-1.340
undivided,0,5,-1.340
urbana,0,5,-1.340
urges,0,5,-1.340
vacuumed,0,5,-1.340
valves,0,5,-1.340
verbs,0,5,-1.340
vigilantes,0,5,-1.340
vin,0,5,-1.340
vitro,0,5,-1.340
volunteerism,0,5,-1.340
w._f._l.,0,5,-1.340
wallgreens,0,5,-1.340
waterproof,0,5,-1.340
wholesalers,0,5,-1.340
windshields,0,5,-1.340
wirewood,0,5,-1.340
workmen,0,5,-1.340
worksheets,0,5,-1.340
y._d._f.,0,5,-1.340
zags,0,5,-1.340
thankfully,24,49,-1.339
feud,8,22,-1.338
oysters,8,22,-1.338
teased,8,22,-1.338
yada,8,22,-1.338
flipping,62,107,-1.335
[breath],97,158,-1.333
tiger,52,92,-1.331
visiting,137,215,-1.331
-til,12,29,-1.330
totally,2034,2746,-1.330
vets,12,29,-1.330
bo,21,44,-1.329
watcher,26,52,-1.327
your,21471,27906,-1.327
ambulances,2,10,-1.325
belonging,2,10,-1.325
binder,2,10,-1.325
breathed,2,10,-1.325
bullock,2,10,-1.325
codeine,2,10,-1.325
dab,2,10,-1.325
decoration,2,10,-1.325
dublin,2,10,-1.325
giggle,2,10,-1.325
gram,2,10,-1.325
hattie,2,10,-1.325
hunk,2,10,-1.325
infested,2,10,-1.325
kennedys,2,10,-1.325
maher,2,10,-1.325
melinda,2,10,-1.325
paddling,2,10,-1.325
purina,2,10,-1.325
rapist,2,10,-1.325
rensselaer,2,10,-1.325
roxanne,2,10,-1.325
snowman,2,10,-1.325
sorcery,2,10,-1.325
souvenir,2,10,-1.325
stockings,2,10,-1.325
tipping,2,10,-1.325
wishful,2,10,-1.325
fingernail,7,20,-1.323
interrupting,7,20,-1.323
katherine,7,20,-1.323
methodist,7,20,-1.323
ruby,7,20,-1.323
spaced,7,20,-1.323
swayed,7,20,-1.323
tuning,7,20,-1.323
yogurt,7,20,-1.323
fuss,18,39,-1.322
errands,15,34,-1.321
sleepy,15,34,-1.321
cake,65,111,-1.316
instant,89,146,-1.316
suffer,131,206,-1.315
packing,23,47,-1.314
page,183,279,-1.314
wire,41,75,-1.312
accessories,6,18,-1.311
aggravation,6,18,-1.311
catty,6,18,-1.311
fulfilled,6,18,-1.311
grumpy,6,18,-1.311
irritate,6,18,-1.311
latifah,6,18,-1.311
pretended,6,18,-1.311
quickest,6,18,-1.311
reinforce,6,18,-1.311
clip,30,58,-1.309
overwhelming,43,78,-1.309
apprehensive,11,27,-1.308
churches,45,81,-1.308
dough,11,27,-1.308
marsha,11,27,-1.308
somethings,11,27,-1.308
tracy,11,27,-1.308
viral,11,27,-1.308
menu,49,87,-1.307
phoenix,101,163,-1.306
daddies,3,12,-1.305
ecstatic,3,12,-1.305
emma,3,12,-1.305
endings,3,12,-1.305
evens,3,12,-1.305
examined,3,12,-1.305
faithfulness,3,12,-1.305
fatigue,3,12,-1.305
frances,3,12,-1.305
jus,3,12,-1.305
kaye,3,12,-1.305
lis-,3,12,-1.305
mites,3,12,-1.305
prettier,3,12,-1.305
rabies,3,12,-1.305
shaping,3,12,-1.305
stepper,3,12,-1.305
stoop,3,12,-1.305
stun,3,12,-1.305
surgical,3,12,-1.305
thinker,3,12,-1.305
tycoon,3,12,-1.305
unfolding,3,12,-1.305
pace,83,137,-1.304
alley,32,61,-1.302
calcium,5,16,-1.302
crib,5,16,-1.302
documentation,5,16,-1.302
endangering,5,16,-1.302
fedex,5,16,-1.302
granny,5,16,-1.302
hor-,5,16,-1.302
norma,5,16,-1.302
punished,32,61,-1.302
saver,5,16,-1.302
southerners,5,16,-1.302
w._w._f.,5,16,-1.302
waldorf,5,16,-1.302
asparagus,4,14,-1.299
blurb,4,14,-1.299
burnett,4,14,-1.299
closure,4,14,-1.299
greenhouse,4,14,-1.299
hallways,4,14,-1.299
harding,4,14,-1.299
incidences,4,14,-1.299
markers,4,14,-1.299
mattered,4,14,-1.299
outrageously,4,14,-1.299
parmesan,4,14,-1.299
pocketbook,4,14,-1.299
shout,4,14,-1.299
teases,4,14,-1.299
terrorized,4,14,-1.299
size,287,422,-1.298
acre,17,37,-1.297
attendant,17,37,-1.297
bride,17,37,-1.297
di,17,37,-1.297
paso,17,37,-1.297
mature,88,144,-1.295
reruns,36,67,-1.292
cheese,180,274,-1.291
liar,27,53,-1.291
mh-,27,53,-1.291
petty,27,53,-1.291
w.,128,201,-1.291
williams,62,106,-1.291
diagnosed,38,70,-1.289
bible,206,310,-1.288
death,368,532,-1.288
especially,2988,3990,-1.288
burner,10,25,-1.287
charming,10,25,-1.287
jan,10,25,-1.287
scooby,10,25,-1.287
cigarette,436,624,-1.285
falls,143,222,-1.285
shh,29,56,-1.283
accent,358,518,-1.280
beliefs,124,195,-1.280
liked,886,1226,-1.278
overwhelmed,19,40,-1.277
pizza,268,395,-1.276
sweet,287,421,-1.276
missed,432,618,-1.274
auction,13,30,-1.273
pampered,13,30,-1.273
relatives,247,366,-1.273
doctor,836,1159,-1.271
informed,76,126,-1.271
skied,16,35,-1.271
ann,63,107,-1.270
call,5112,6753,-1.269
cooked,120,189,-1.269
cover,261,385,-1.267
medications,35,65,-1.267
autumn,9,23,-1.266
suitcases,9,23,-1.266
violin,9,23,-1.266
wee,9,23,-1.266
dirt,72,120,-1.263
yell,37,68,-1.263
las,111,176,-1.261
mouths,21,43,-1.261
popcorn,90,146,-1.261
rescued,21,43,-1.261
retiring,21,43,-1.261
wives,55,95,-1.261
drawn,70,117,-1.260
sends,41,74,-1.259
taped,41,74,-1.259
wrapped,41,74,-1.259
parental,47,83,-1.257
smile,45,80,-1.257
group,1069,1467,-1.255
tail,77,127,-1.252
alison,18,38,-1.251
sneakers,18,38,-1.251
thunderstorms,18,38,-1.251
vocabulary,18,38,-1.251
ashamed,23,46,-1.248
carrey,23,46,-1.248
hormones,12,28,-1.248
satisfy,12,28,-1.248
scouts,23,46,-1.248
stuffy,12,28,-1.248
celebrations,8,21,-1.246
dachshunds,8,21,-1.246
followers,8,21,-1.246
retrievers,8,21,-1.246
photo,32,60,-1.244
cream,164,250,-1.243
mouth,261,384,-1.243
unusual,149,229,-1.242
'cos,1,7,-1.241
401ks,1,7,-1.241
a._m._c.,1,7,-1.241
bedridden,1,7,-1.241
biracial,1,7,-1.241
booklets,1,7,-1.241
brussel,1,7,-1.241
bystanders,1,7,-1.241
campers,1,7,-1.241
charismatic,1,7,-1.241
cherries,1,7,-1.241
claudia,1,7,-1.241
clippings,1,7,-1.241
clovis,1,7,-1.241
collapses,1,7,-1.241
collars,1,7,-1.241
commercially,1,7,-1.241
compile,1,7,-1.241
computering,1,7,-1.241
cookout,1,7,-1.241
coordinating,1,7,-1.241
cornbread,1,7,-1.241
countrymen,1,7,-1.241
currents,1,7,-1.241
cutoff,1,7,-1.241
decor,1,7,-1.241
deposition,1,7,-1.241
desiree,1,7,-1.241
dickens,1,7,-1.241
doggies,1,7,-1.241
dwarf,1,7,-1.241
earners,1,7,-1.241
excursions,1,7,-1.241
expend,1,7,-1.241
fearless,1,7,-1.241
fertility,1,7,-1.241
flagging,1,7,-1.241
forestry,1,7,-1.241
fostering,1,7,-1.241
fur-,1,7,-1.241
gland,1,7,-1.241
grinch,1,7,-1.241
heartbreak,1,7,-1.241
homebodies,1,7,-1.241
homebound,1,7,-1.241
hos-,1,7,-1.241
jacqui,1,7,-1.241
kathryn,1,7,-1.241
keeps,512,724,-1.241
krystal,1,7,-1.241
lotion,1,7,-1.241
marcie,1,7,-1.241
mastectomy,1,7,-1.241
mongers,1,7,-1.241
n._d._s._u.,1,7,-1.241
n._o._r._a._d.,1,7,-1.241
nadia,1,7,-1.241
newcastle,1,7,-1.241
oilers,1,7,-1.241
pant,1,7,-1.241
perennials,1,7,-1.241
philbin,1,7,-1.241
porches,1,7,-1.241
pounce,1,7,-1.241
preserves,1,7,-1.241
printout,1,7,-1.241
pullman,1,7,-1.241
rapists,1,7,-1.241
raquel,1,7,-1.241
redhead,1,7,-1.241
rescuing,1,7,-1.241
retainer,1,7,-1.241
rotations,1,7,-1.241
salts,1,7,-1.241
sanitizer,1,7,-1.241
saute,1,7,-1.241
schoolteachers,1,7,-1.241
sectioned,1,7,-1.241
seized,1,7,-1.241
skiers,1,7,-1.241
slender,1,7,-1.241
snatch,1,7,-1.241
snooty,1,7,-1.241
sprinklers,1,7,-1.241
sprouts,1,7,-1.241
subbing,1,7,-1.241
thirty-five,1,7,-1.241
traitor,1,7,-1.241
tumors,1,7,-1.241
undergo,1,7,-1.241
unprofessional,1,7,-1.241
waffles,1,7,-1.241
watermelons,1,7,-1.241
wreath,1,7,-1.241
ying,1,7,-1.241
young-,1,7,-1.241
yvette,1,7,-1.241
updated,25,49,-1.238
overeating,157,240,-1.236
detrimental,38,69,-1.235
directions,52,90,-1.235
pulled,206,308,-1.235
listening,401,574,-1.234
rolls,44,78,-1.232
threatened,85,138,-1.230
trustworthy,27,52,-1.230
exercises,92,148,-1.229
betsy,7,19,-1.227
childrens,7,19,-1.227
donut,7,19,-1.227
lifts,7,19,-1.227
missionary,7,19,-1.227
paints,7,19,-1.227
skipping,7,19,-1.227
skits,7,19,-1.227
southerner,7,19,-1.227
brands,11,26,-1.224
clo-,11,26,-1.224
complaint,17,36,-1.224
counted,17,36,-1.224
crosses,17,36,-1.224
diets,11,26,-1.224
lunchtime,11,26,-1.224
murders,17,36,-1.224
stewardess,11,26,-1.224
tractor,11,26,-1.224
trunk,11,26,-1.224
entering,29,55,-1.223
eyes,352,507,-1.221
parenting,22,44,-1.221
accepting,59,100,-1.220
prayer,59,100,-1.220
cheering,14,31,-1.219
post,229,339,-1.217
forward,353,508,-1.214
floor,235,347,-1.211
appetizers,6,17,-1.210
classy,6,17,-1.210
healthiest,6,17,-1.210
hunts,6,17,-1.210
inglewood,6,17,-1.210
kissing,24,47,-1.210
mails,6,17,-1.210
manor,6,17,-1.210
parakeets,24,47,-1.210
piles,6,17,-1.210
ra,6,17,-1.210
roaming,6,17,-1.210
spirituality,6,17,-1.210
stained,6,17,-1.210
teddy,6,17,-1.210
wacko,6,17,-1.210
headache,49,85,-1.209
stick,468,663,-1.209
teen,37,67,-1.208
dysfunctional,19,39,-1.207
scan,41,73,-1.206
dream,188,282,-1.205
lab,188,282,-1.205
work,10379,13560,-1.205
table,282,411,-1.204
raise,607,849,-1.203
happily,26,50,-1.202
absent,2,9,-1.200
alleys,2,9,-1.200
arby,2,9,-1.200
belie-,2,9,-1.200
ben-,2,9,-1.200
breather,2,9,-1.200
bussed,2,9,-1.200
campground,2,9,-1.200
carded,2,9,-1.200
carousel,2,9,-1.200
cervical,2,9,-1.200
colts,2,9,-1.200
conga,2,9,-1.200
conversa-,2,9,-1.200
deadbeat,2,9,-1.200
dependability,2,9,-1.200
drenched,2,9,-1.200
ec,2,9,-1.200
edmonton,2,9,-1.200
escorted,2,9,-1.200
flabby,2,9,-1.200
gazelle,2,9,-1.200
h._p.,2,9,-1.200
h._t._m._l.,2,9,-1.200
horatio,2,9,-1.200
humidifier,2,9,-1.200
inhalers,2,9,-1.200
kiddy,2,9,-1.200
louisa,2,9,-1.200
motherly,2,9,-1.200
neglecting,2,9,-1.200
nipped,2,9,-1.200
notary,2,9,-1.200
overheated,2,9,-1.200
pacers,2,9,-1.200
pendleton,2,9,-1.200
percentile,2,9,-1.200
polio,2,9,-1.200
pow,2,9,-1.200
reconnect,2,9,-1.200
rodeos,2,9,-1.200
stepbrother,2,9,-1.200
stewardesses,2,9,-1.200
t._a.,2,9,-1.200
triggers,2,9,-1.200
vents,2,9,-1.200
vintage,2,9,-1.200
westie,2,9,-1.200
whistler,2,9,-1.200
wronged,2,9,-1.200
z-,2,9,-1.200
borrowed,10,24,-1.199
celebrates,10,24,-1.199
pensions,10,24,-1.199
a._a._u.,0,4,-1.198
a._r.,0,4,-1.198
a._s._l.,0,4,-1.198
acadian,0,4,-1.198
advair,0,4,-1.198
aerosol,0,4,-1.198
ahh,0,4,-1.198
aiken,0,4,-1.198
alberto,0,4,-1.198
alot,0,4,-1.198
angelou,0,4,-1.198
apologetic,0,4,-1.198
applauded,0,4,-1.198
approximate,0,4,-1.198
arcola,0,4,-1.198
aromatherapy,0,4,-1.198
assessments,0,4,-1.198
asti,0,4,-1.198
aurio,0,4,-1.198
awakened,0,4,-1.198
b._t.,0,4,-1.198
babette,0,4,-1.198
bachelorettes,0,4,-1.198
badgering,0,4,-1.198
ballies,0,4,-1.198
barbiturates,0,4,-1.198
bassett,0,4,-1.198
bater,0,4,-1.198
batty,0,4,-1.198
bead,0,4,-1.198
beanies,0,4,-1.198
beck,0,4,-1.198
beetle,0,4,-1.198
behest,0,4,-1.198
ber-,0,4,-1.198
blips,0,4,-1.198
block-,0,4,-1.198
boehm,0,4,-1.198
bonita,0,4,-1.198
bonnet,0,4,-1.198
braciole,0,4,-1.198
bratty,0,4,-1.198
bulge,0,4,-1.198
bumble,0,4,-1.198
burbs,0,4,-1.198
c._n._a.,0,4,-1.198
c._o._s._i.,0,4,-1.198
camille,0,4,-1.198
camus,0,4,-1.198
canasta,0,4,-1.198
caramel,0,4,-1.198
carer,0,4,-1.198
carjacking,0,4,-1.198
carpeted,0,4,-1.198
cartman,0,4,-1.198
cataract,0,4,-1.198
cathedral,0,4,-1.198
cavalier,0,4,-1.198
cecelia,0,4,-1.198
celia,0,4,-1.198
ceremonial,0,4,-1.198
chatmoss,0,4,-1.198
cheyenne,0,4,-1.198
chi-ching,0,4,-1.198
chocula,0,4,-1.198
chompy,0,4,-1.198
choosier,0,4,-1.198
chrissy,0,4,-1.198
chucked,0,4,-1.198
circulates,0,4,-1.198
clarityn,0,4,-1.198
clearfield,0,4,-1.198
clobbered,0,4,-1.198
clydesdale,0,4,-1.198
coachella,0,4,-1.198
coff-,0,4,-1.198
cohost,0,4,-1.198
colicky,0,4,-1.198
collaborative,0,4,-1.198
collards,0,4,-1.198
